voltage x,voltage y,time
-7.688182193,7.708481211,0.668
-7.684564889,7.706837005,0.669
-7.682262968,7.706179323,0.67
-7.69311488,7.7051928,0.671
-7.694430263,7.694669886,0.672
-7.705282175,7.694341045,0.673
-7.686866809,7.700260184,0.674
-7.67667259,7.700260184,0.675
-7.675357206,7.712098463,0.676
-7.670753365,7.71144078,0.677
-7.665820679,7.715386873,0.678
-7.665491833,7.717031079,0.679
-7.663847604,7.716044556,0.68
-7.664834141,7.726238629,0.681
-7.656612997,7.725252106,0.682
-7.657270689,7.734788497,0.683
-7.658914917,7.730842404,0.684
-7.667136062,7.711111939,0.685
-7.675028361,7.709138893,0.686
-7.674370669,7.710783098,0.687
-7.672068749,7.710125416,0.688
-7.686209118,7.710454257,0.689
-7.689826422,7.709138893,0.69
-7.688839884,7.703548595,0.691
-7.69936295,7.699931343,0.692
-7.698705259,7.694669886,0.693
-7.698376413,7.701575548,0.694
-7.687195655,7.709467734,0.695
-7.684236043,7.712756145,0.696
-7.679303356,7.713084986,0.697
-7.681934122,7.716373397,0.698
-7.681934122,7.718346443,0.699
-7.676343744,7.716044556,0.7
-7.676343744,7.719661807,0.701
-7.670753365,7.729855881,0.702
-7.666149524,7.730842404,0.703
-7.658586072,7.723279059,0.704
-7.667136062,7.71144078,0.705
-7.67272644,7.710783098,0.706
-7.678316819,7.705521641,0.707
-7.675686052,7.705521641,0.708
-7.671411057,7.708481211,0.709
-7.674041823,7.705850482,0.71
-7.67897451,7.703548595,0.711
-7.682591814,7.698615979,0.712
-7.684564889,7.69302568,0.713
-7.68292066,7.697958296,0.714
-7.675028361,7.7051928,0.715
-7.671082211,7.71144078,0.716
-7.667793753,7.711111939,0.717
-7.66647837,7.712756145,0.718
-7.665491833,7.714729191,0.719
-7.682591814,7.718017602,0.72
-7.678316819,7.718017602,0.721
-7.671411057,7.726896311,0.722
-7.66417645,7.728869358,0.723
-7.661874529,7.725909788,0.724
-7.669766828,7.716702238,0.725
-7.674041823,7.709467734,0.726
-7.673055286,7.710783098,0.727
-7.676014898,7.711769622,0.728
-7.67897451,7.708810052,0.729
-7.675357206,7.709467734,0.73
-7.67897451,7.702562071,0.731
-7.695087955,7.698287138,0.732
-7.702322563,7.693683363,0.733
-7.701664871,7.69894482,0.734
-7.690484113,7.707494688,0.735
-7.671082211,7.714729191,0.736
-7.668451445,7.711111939,0.737
-7.668122599,7.714071509,0.738
-7.665491833,7.714729191,0.739
-7.66417645,7.711769622,0.74
-7.673384132,7.720977172,0.741
-7.6602303,7.729198199,0.742
-7.65562646,7.733144292,0.743
-7.65792838,7.724594424,0.744
-7.667793753,7.718675284,0.745
-7.673712978,7.712427304,0.746
-7.674370669,7.709138893,0.747
-7.676343744,7.708810052,0.748
-7.675686052,7.705850482,0.749
-7.673712978,7.703548595,0.75
-7.677330281,7.70223323,0.751
-7.693772572,7.699931343,0.752
-7.705282175,7.693354522,0.753
-7.700678334,7.699602502,0.754
-7.67897451,7.710454257,0.755
-7.670753365,7.716702238,0.756
-7.67042452,7.71440035,0.757
-7.66647837,7.710783098,0.758
-7.669437982,7.71735992,0.759
-7.669109136,7.707823529,0.76
-7.662532221,7.718346443,0.761
-7.675357206,7.729855881,0.762
-7.668122599,7.729855881,0.763
-7.67272644,7.72656747,0.764
-7.680947585,7.716702238,0.765
-7.685880272,7.713413827,0.766
-7.688511039,7.710454257,0.767
-7.691799497,7.710783098,0.768
-7.687853347,7.709796575,0.769
-7.689497576,7.707494688,0.77
-7.683907197,7.704863959,0.771
-7.696732184,7.699931343,0.772
-7.704295638,7.694998727,0.773
-7.69706103,7.697300614,0.774
-7.692457188,7.704206277,0.775
-7.683907197,7.713084986,0.776
-7.673712978,7.710454257,0.777
-7.679961048,7.714071509,0.778
-7.681934122,7.716044556,0.779
-7.682262968,7.716044556,0.78
-7.663847604,7.712756145,0.781
-7.6602303,7.729198199,0.782
-7.655297614,7.717688761,0.783
-7.652995694,7.72031949,0.784
-7.662861067,7.712756145,0.785
-7.667464908,7.710454257,0.786
-7.673384132,7.709138893,0.787
-7.673384132,7.707823529,0.788
-7.672397594,7.702562071,0.789
-7.673384132,7.7051928,0.79
-7.676343744,7.702562071,0.791
-7.684893735,7.694669886,0.792
-7.683907197,7.691710316,0.793
-7.681605277,7.694012204,0.794
-7.675357206,7.704206277,0.795
-7.669766828,7.709467734,0.796
-7.663847604,7.714071509,0.797
-7.668780291,7.715386873,0.798
-7.669109136,7.714071509,0.799
-7.667464908,7.716044556,0.8
-7.659243763,7.717688761,0.801
-7.657270689,7.726896311,0.802
-7.64937839,7.729198199,0.803
-7.658914917,7.724594424,0.804
-7.662532221,7.716702238,0.805
-7.673055286,7.707165846,0.806
-7.670095674,7.711769622,0.807
-7.671082211,7.705521641,0.808
-7.675357206,7.706837005,0.809
-7.673384132,7.704535118,0.81
-7.683249506,7.703548595,0.811
-7.686209118,7.697300614,0.812
-7.699034105,7.694669886,0.813
-7.688511039,7.696314091,0.814
-7.68916873,7.708810052,0.815
-7.68522258,7.714071509,0.816
-7.688511039,7.712098463,0.817
-7.682262968,7.716373397,0.818
-7.669109136,7.7051928,0.819
-7.668451445,7.71440035,0.82
